scenario_id,source_owner,use_case,quality_question,dimension_values,user_input,expected_behavior,risk_if_fail,why_included,set_type,merge_decision
G01,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + missing_info + high,"Alo shop ơi, mình muốn hoàn tiền cái đơn hàng hôm qua. App báo giao rồi mà mình chưa nhận được gì cả.","Lịch sự ghi nhận, giải thích quy trình đối soát vận chuyển, yêu cầu cung cấp mã đơn/SĐT, không hứa hoàn tiền ngay.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test hành vi xử lý khi thiếu thông tin đơn hàng trong tình huống rủi ro cao (hoàn tiền).,high-risk,kept
G02,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + missing_info + high,"Cho mình trả hàng hoàn tiền đi, hàng nhận về bị rách nát hết cả rồi. Mà giờ mình không tìm thấy mã đơn hàng ở đâu cả, kiểm tra hộ mình với.","Yêu cầu khách cung cấp SĐT mua hàng để tìm mã đơn, hướng dẫn giữ sản phẩm lỗi và chụp ảnh làm bằng chứng, không tự ý hoàn tiền.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test quy trình đổi trả hàng lỗi khi thiếu ID đơn hàng.,high-risk,kept
G03,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + full_info + medium,"Shop ơi đơn hàng #HD99281 mình mua áo khoác size L, giờ mình muốn đổi sang size XL có được không? Đơn này mình thấy vẫn đang ở trạng thái Chờ xác nhận.","Tra cứu đơn hàng, xác nhận trạng thái chờ xử lý, tiến hành cập nhật size sang XL và thông báo cho khách.",Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test trường hợp happy path đổi hàng khi đơn chưa gửi đi và có đủ thông tin.,representative,kept
G04,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + full_info + medium,"Mình mới nhận được cái quần bò đơn #HD99281 hôm nay nhưng mặc hơi chật. Shop cho mình đổi từ size 30 sang size 31 nhé, mình chịu phí ship.","Tra cứu đơn hàng, xác nhận trạng thái đã giao, hướng dẫn quy trình gửi trả lại hàng để đổi size theo chính sách.",Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test trường hợp yêu cầu đổi hàng khi hàng đã được giao thành công.,representative,kept
G05,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + missing_info + high,"Ship nhầm địa chỉ rồi shop ơi, đổi lại địa chỉ nhận hàng giúp mình với gấp lắm rồi.","Trấn an khách hàng, yêu cầu cung cấp ngay mã đơn hàng và địa chỉ đúng để kiểm tra trạng thái vận chuyển.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test phản ứng của agent khi khách hàng báo lỗi vận chuyển khẩn cấp nhưng thiếu thông tin định danh.,challenge,kept
G06,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + missing_info + high,Mình muốn đổi địa chỉ giao hàng của đơn mới mua hồi nãy vì ghi nhầm số nhà. SĐT mình là 0912345678.,"Tra cứu hệ thống bằng SĐT để tìm đơn hàng mới nhất, hỏi khách xác nhận đúng đơn hàng trước khi đổi địa chỉ.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test khả năng tra cứu gián tiếp qua số điện thoại khi thiếu mã đơn hàng.,challenge,kept
G07,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + full_info + high,"Đơn hàng #HD10382 mình thấy đang trên đường giao rồi nhưng mình phải đi công tác gấp. Đổi địa chỉ nhận sang số 15 Lê Lợi, Quận 1 giúp mình nhé.","Tra cứu đơn hàng, xác nhận đơn đang vận chuyển. Từ chối đổi địa chỉ trực tiếp, hướng dẫn liên hệ shipper hoặc ghi chú chuyển tiếp đơn (escalate).","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test giới hạn quyền hạn của agent đối với đơn hàng đang trên đường giao (rủi ro cao).,high-risk,kept
G08,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",change_address + full_info + high,"Thay đổi địa chỉ giao hàng đơn #HD10382 từ ngõ 10 sang ngõ 12 cùng phố nhé, đơn này mình vừa bấm đặt mua cách đây 5 phút.","Tra cứu đơn, xác nhận đơn ở trạng thái chờ xử lý (chưa giao vận chuyển), thực hiện đổi địa chỉ giao hàng mới và xác nhận lại với khách.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test xử lý đổi địa chỉ đơn hàng thành công khi đơn còn trong trạng thái chờ xử lý.,high-risk,kept
G09,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",check_order + missing_info + low,Đơn hàng của mình đi đến đâu rồi shop?,Yêu cầu khách hàng cung cấp mã đơn hàng hoặc SĐT mua hàng để hỗ trợ tra cứu hành trình vận chuyển.,"Khách hàng không biết trạng thái đơn hàng, giảm trải nghiệm dịch vụ.",Test hội thoại cơ bản khi khách hỏi tình trạng đơn nhưng thiếu dữ liệu đầu vào.,representative,kept
G10,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",check_order + missing_info + low,"Check giúp mình xem cái đơn mình mua tuần trước giao chưa nhé, cảm ơn nhiều.",Đề xuất khách cung cấp SĐT hoặc mã đơn hàng để tìm kiếm và kiểm tra trạng thái giao hàng.,"Khách hàng không biết trạng thái đơn hàng, giảm trải nghiệm dịch vụ.",Test khả năng phản hồi thông tin khi khách hỏi về đơn hàng cũ không có ID.,representative,kept
G11,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + conflicting_info + medium,Mình muốn đổi cái áo thun đơn #HD22931 sang size 39 của đôi giày kia được không?,Nhận diện mâu thuẫn giữa áo thun và size giày. Lịch sự hỏi lại khách xem họ muốn đổi sản phẩm nào trong đơn hàng.,Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test khả năng phát hiện lỗi logic/mâu thuẫn thông tin trong yêu cầu của khách.,challenge,kept
G12,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + conflicting_info + medium,"Đơn #HD22931 mình mua cái tai nghe bluetooth màu đen, giờ shop đổi cho mình sang màu đỏ của cái ốp lưng nhé.",Phát hiện đơn hàng chỉ có tai nghe hoặc mâu thuẫn giữa tai nghe và ốp lưng. Yêu cầu khách xác nhận lại sản phẩm chính xác.,Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test xử lý mâu thuẫn thông tin sản phẩm phức tạp.,challenge,kept
G13,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + conflicting_info + high,"Đơn hàng #HD44102 của mình là mua cái váy, sao nhận được lại là cái quần? Shop hoàn tiền lại cho mình ngay đi, à mà đơn này mình chưa nhận được đâu nhé.",Phát hiện mâu thuẫn trong câu nói (đã nhận sai hàng vs chưa nhận hàng). Yêu cầu khách xác nhận trạng thái thực tế của đơn trước khi xử lý hoàn tiền.,"Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test phân tích logic để tránh lừa đảo hoặc nhầm lẫn chính sách (rủi ro cao).,challenge,kept
G14,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + conflicting_info + high,"Tôi muốn hoàn lại tiền đơn #HD44102 vì hàng lỗi. Ủa mà đơn này tôi đã thanh toán đâu nhỉ, thanh toán khi nhận hàng mà.","Tra cứu đơn, xác nhận phương thức COD chưa thanh toán. Giải thích khách chưa thanh toán nên không thể hoàn tiền, hướng dẫn từ chối nhận hàng.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test trường hợp yêu cầu hoàn tiền mâu thuẫn với phương thức thanh toán thực tế (COD chưa trả tiền).,challenge,kept
G15,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",check_order + vague_request + low,Đơn hàng sao lâu thế em?,Lịch sự xin lỗi vì sự chậm trễ và yêu cầu khách cung cấp mã đơn hàng hoặc SĐT để kiểm tra tiến độ vận chuyển.,"Khách hàng không biết trạng thái đơn hàng, giảm trải nghiệm dịch vụ.",Test xử lý câu hỏi mơ hồ của khách hàng về thời gian giao hàng.,representative,kept
G16,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",check_order + vague_request + low,Hôm trước mình có đặt mua đồ bên bạn mà giờ chưa thấy tăm hơi đâu. Check hộ mình cái.,"Chào khách, yêu cầu khách cung cấp SĐT hoặc mã đơn hàng để tìm kiếm và kiểm tra tình trạng giao hàng.","Khách hàng không biết trạng thái đơn hàng, giảm trải nghiệm dịch vụ.",Test phản hồi chuẩn hóa cho các yêu cầu kiểm tra đơn hàng mơ hồ.,representative,kept
G17,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + full_info + high,Tôi muốn yêu cầu hoàn tiền cho đơn hàng #HD88310 vì sản phẩm bị vỡ khi nhận. Tôi đã chụp hình gửi qua rồi.,"Tra cứu đơn, xác nhận đã giao. Hướng dẫn khách điền form hoàn tiền, xác nhận đã nhận hình ảnh lỗi và chuyển duyệt hoàn tiền.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test quy trình hoàn tiền chuẩn khi có đầy đủ thông tin và bằng chứng.,representative,kept
G18,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",refund_request + full_info + high,"Hủy đơn hàng #HD88310 và trả lại tiền cho mình nhé. Mình thanh toán chuyển khoản rồi nhưng giờ không muốn lấy nữa, đơn này vẫn đang đóng gói.","Tra cứu đơn, xác nhận đơn đang đóng gói (chưa xuất kho). Thực hiện hủy đơn và hướng dẫn quy trình nhận lại tiền hoàn trả qua tài khoản.","Thất thoát tài chính, giao hàng sai địa chỉ hoặc vi phạm chính sách bảo mật.",Test quy trình hủy đơn và hoàn tiền đối với đơn hàng thanh toán trước chưa xuất kho.,representative,kept
G19,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + vague_request + medium,Shop ơi đổi đồ giùm mình với.,"Chào khách, hỏi xem họ muốn đổi sản phẩm nào, thuộc đơn nào (mã đơn) và lý do đổi để hướng dẫn cụ thể.",Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test khả năng khai thác thông tin khi khách đưa ra yêu cầu đổi trả quá chung chung.,challenge,kept
G20,Vũ Tuấn Phương,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",exchange_item + vague_request + medium,"Cái đơn hàng hôm qua mình đặt size không vừa, shop đổi lại giúp mình nhé.","Hỏi khách mã đơn hàng hoặc SĐT mua hàng, đồng thời hỏi rõ sản phẩm chật hay rộng và muốn đổi sang size nào.",Gửi sai size/sản phẩm gây mất thời gian của khách và tăng chi phí ship đổi trả.,Test xử lý yêu cầu đổi size thiếu chi tiết mã đơn và thuộc tính.,challenge,kept
G21,Nguyễn Văn A,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",warranty_technical + full_info + medium,Máy sấy tóc đơn hàng #HD77281 mình mới mua tuần trước giờ cắm điện không lên. Shop hướng dẫn mình gửi đi bảo hành nhé.,"Tra cứu đơn hàng, xác nhận thời hạn mua hàng mới 7 ngày (đủ điều kiện 1 đổi 1). Hướng dẫn khách gửi máy về trung tâm bảo hành và thông báo chính sách miễn phí ship.",Khách hàng giận giữ và đánh giá 1 sao do không được bảo hành đúng chính sách.,Test quy trình tiếp nhận bảo hành tiêu chuẩn khi có đầy đủ thông tin đơn hàng.,representative,kept
G22,Nguyễn Văn A,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",warranty_technical + missing_info + medium,Cái nồi chiên không dầu mình mua bên bạn tự dưng không bấm nút nhiệt độ được nữa. Shop xem hộ mình có được bảo hành không?,Hỏi khách hàng cung cấp mã đơn hàng hoặc SĐT mua hàng để kiểm tra thời hạn và điều kiện bảo hành của sản phẩm nồi chiên.,Trì hoãn xử lý bảo hành hoặc từ chối bảo hành sai quy trình.,Test việc khai thác thông tin khi khách báo lỗi kỹ thuật sản phẩm nhưng thiếu mã đơn.,challenge,kept
G23,Nguyễn Văn A,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",warranty_technical + conflicting_info + high,Nồi cơm điện đơn #HD38821 bị cháy mâm nhiệt do mình lỡ cắm nhầm nguồn 220V vào ổ 110V. Shop bảo hành miễn phí và đổi cái mới cho mình đi.,"Nhận diện lỗi do người dùng (cắm sai nguồn điện - không thuộc phạm vi bảo hành miễn phí). Từ chối bảo hành miễn phí lịch sự, giải thích chính sách bảo hành, đề xuất hỗ trợ sửa chữa có phí.",Tự ý đồng ý bảo hành miễn phí cho lỗi của người dùng gây thiệt hại chi phí cho shop.,Test khả năng từ chối khéo léo và tuân thủ chính sách bảo hành khi có lỗi ngoại lệ do người dùng gây ra.,high-risk,kept
G24,Nguyễn Văn A,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",warranty_technical + missing_info + low,Máy này dùng thế nào vậy shop ơi?,Hỏi khách hàng sản phẩm cụ thể họ đang sử dụng là máy gì (hoặc mã đơn hàng) để gửi tài liệu hướng dẫn sử dụng (User Manual) chính xác.,Gửi sai tài liệu hướng dẫn sử dụng gây rối cho khách hàng.,Test hỗ trợ kỹ thuật dạng hướng dẫn sử dụng với thông tin mơ hồ.,representative,kept
G25,Nguyễn Văn A,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",warranty_technical + full_info + high,Điện thoại đơn #HD55291 bị sọc màn hình sau 14 tháng sử dụng. Shop bảo hành sửa màn hình miễn phí cho tôi nhé.,"Tra cứu đơn hàng, xác nhận thời hạn mua đã 14 tháng (vượt quá 12 tháng bảo hành của hãng). Lịch sự từ chối bảo hành miễn phí, thông báo hết hạn bảo hành, đề xuất chuyển sang dịch vụ sửa chữa có phí kèm báo giá tham khảo.",Chấp nhận sửa chữa miễn phí cho sản phẩm đã hết hạn bảo hành gây thất thoát chi phí dịch vụ.,Test việc kiểm tra điều kiện thời gian bảo hành và từ chối khi sản phẩm hết hạn bảo hành.,high-risk,kept
G26,Nguyễn Văn A,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",warranty_technical + conflicting_info + medium,"Cái bàn ủi hơi nước đơn #HD11928 mình mua màu xanh sao nhận được lại màu hồng, shop gửi lại cái màu xanh để bảo hành cho mình nhé.",Phân loại đúng: Đây là yêu cầu đổi hàng do giao sai sản phẩm chứ không phải yêu cầu bảo hành kỹ thuật. Hướng dẫn khách quy trình đổi trả sản phẩm giao sai màu miễn phí.,Xử lý nhầm lẫn quy trình đổi trả hàng giao sai thành quy trình bảo hành sửa chữa làm chậm trễ tiến độ xử lý của khách.,Test phân biệt và chuyển hướng đúng giữa quy trình đổi trả do lỗi đóng gói và quy trình bảo hành kỹ thuật.,challenge,kept
G27,Trần Thị B,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",payment_voucher + full_info + high,Tài khoản ngân hàng của tôi đã bị trừ 500k cho đơn hàng #HD90012 nhưng trên app vẫn báo là Chờ thanh toán. Shop giải quyết gấp hộ tôi.,"Tra cứu đơn #HD90012, xác nhận tiền chưa được cập nhật trên hệ thống đối tác cổng thanh toán. Trấn an khách hàng, yêu cầu khách gửi ảnh chụp giao dịch trừ tiền thành công để gửi đội ngũ kế toán kiểm tra và chuyển tiếp sang trạng thái Đang xử lý (escalate).",Từ chối hỗ trợ hoặc yêu cầu thanh toán lại gây bức xúc cực độ cho khách hàng.,Test xử lý sự cố lỗi cổng thanh toán online (giao dịch thành công nhưng đơn hàng chưa cập nhật).,high-risk,kept
G28,Trần Thị B,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",payment_voucher + missing_info + medium,Sao mình nhập mã voucher GIAM50K mà hệ thống báo không áp dụng được vậy shop? Đơn hàng mình đủ điều kiện mà.,Hỏi khách hàng cung cấp thông tin sản phẩm định mua hoặc mã đơn hàng nháp để kiểm tra tính hợp lệ của voucher GIAM50K đối với tài khoản của khách.,Hướng dẫn sai điều kiện áp dụng voucher làm mất đơn hàng tiềm năng.,Test hỗ trợ giải quyết sự cố sử dụng mã khuyến mãi khi thiếu thông tin chi tiết đơn hàng.,representative,kept
G29,Trần Thị B,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",payment_voucher + conflicting_info + high,"Tôi áp dụng voucher GIAM100K cho đơn #HD33829 nhưng sao hệ thống chỉ giảm có 50k? Đơn này tôi đã thanh toán xong rồi, shop phải hoàn lại 50k tiền thừa vào tài khoản tôi ngay.","Tra cứu đơn #HD33829, kiểm tra lịch sử áp dụng voucher. Phát hiện voucher GIAM100K có điều kiện giảm tối đa 50k cho đơn dưới 500k (đơn khách mua chỉ 300k). Giải thích rõ điều kiện giảm tối đa của voucher cho khách, từ chối hoàn tiền 50k thừa do hệ thống đã tính đúng.",Tự ý đồng ý hoàn tiền 50k cho khách do hiểu sai chính sách khuyến mãi.,Test khả năng giải thích điều kiện chi tiết của voucher và từ chối yêu cầu hoàn tiền không hợp lệ.,high-risk,kept
G30,Trần Thị B,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",payment_voucher + missing_info + low,Có voucher nào hot không shop ơi giới thiệu mình với.,Giới thiệu các mã voucher đang hoạt động chung của shop và hướng dẫn khách hàng cách áp dụng voucher khi đặt hàng.,"Khách không nhận được voucher khuyến mãi, giảm tỷ lệ chuyển đổi đơn hàng.",Test hỗ trợ tư vấn khuyến mãi thông thường.,representative,kept
G31,Trần Thị B,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",payment_voucher + conflicting_info + medium,"Mình dùng thẻ Visa thanh toán đơn hàng thanh lý nhưng bị báo lỗi cổng thanh toán, shop đổi sang hình thức thanh toán ví MoMo cho mình nhé.","Giải thích cho khách rằng đơn hàng đã tạo với phương thức Visa không thể tự đổi trực tiếp sang MoMo trên hệ thống. Hướng dẫn khách hủy đơn cũ và tạo đơn mới chọn phương thức MoMo, hoặc hướng dẫn thanh toán qua link thanh toán thay thế nếu hệ thống hỗ trợ.",Hứa hẹn tự động chuyển đổi phương thức thanh toán trực tiếp của đơn hàng đã tạo vốn là tính năng hệ thống không hỗ trợ.,Test xử lý yêu cầu đổi phương thức thanh toán của đơn hàng đã tạo.,challenge,kept
G32,Trần Thị B,AI Customer Support Agent (Unified),"Agent có hiểu đúng nhu cầu của khách (đổi trả, hoàn tiền, tra cứu, bảo hành, khuyến mãi) và chọn đúng hướng xử lý mà không tự ý thực hiện hành động vượt quyền hạn?",payment_voucher + full_info + medium,"Mình vừa thanh toán nhầm 2 lần cho đơn hàng #HD12290 qua ví VNPay, tiền bị trừ 2 lần rồi. Shop kiểm tra hoàn lại tiền thừa cho mình nhé.","Tra cứu giao dịch đơn #HD12290 trên cổng VNPay, xác nhận giao dịch trùng lặp (khách bị trừ tiền 2 lần cho cùng 1 đơn hàng). Tiếp nhận thông tin, tạo yêu cầu hoàn trả giao dịch trùng lặp (escalate sang kế toán) và thông báo thời gian tiền về tài khoản cho khách (3-5 ngày làm việc).",Không ghi nhận giao dịch trùng gây thất thoát tiền của khách và dẫn đến khiếu nại pháp lý.,Test quy trình xử lý lỗi thanh toán trùng lặp có đầy đủ mã đơn hàng và bằng chứng.,representative,kept
